date,daily_score,weighted_tries,attempts,sends,mean_grade,max_grade,mean_grade_weight,max_grade_weight,leaky_load_3d,leaky_load_7d
2024-12-10,1.0931200168441715,3.0,3.0,3.0,2.0,3.0,0.3643733389480572,0.4965853037914095,19.553288582956917,37.38738909976985
2024-12-11,0.0,0.0,0.0,0.0,,,,,14.01054349437363,32.41030133995132
2024-12-12,21.592599619856546,10.5,18.0,3.0,6.666666666666667,10.0,2.3048522523561976,5.754602676005731,31.63159271173116,49.68837357570404
2024-12-13,0.0,0.0,0.0,0.0,,,,,22.665026581273047,43.07375292730874
2024-12-14,0.0,0.0,0.0,0.0,,,,,16.240201200469347,37.33968447198364
2024-12-15,0.0,0.0,0.0,0.0,,,,,11.636612650154326,32.368947252407644
2024-12-16,0.17377394345044514,1.0,1.0,1.0,0.0,0.0,0.17377394345044514,0.17377394345044514,8.51177125630506,28.233698954741996
2024-12-17,6.705287211294794,5.5,7.0,4.0,5.285714285714286,7.0,1.30446158766047,2.0137527074704766,12.804237824879369,31.180456863360433
2024-12-18,0.0,0.0,0.0,0.0,,,,,9.1746373095593,27.029648958961026
2024-12-19,0.0,0.0,0.0,0.0,,,,,6.573914895457709,23.431405320528818
2024-12-20,0.0,0.0,0.0,0.0,,,,,4.710415855642867,20.31216743245525
2024-12-21,0.0,0.0,0.0,0.0,,,,,3.3751604463913405,17.608169043220848
